Market	QuerySetName	QueryId	Query	Type	Frequency	UserLocation	UserLatLong	UserBoundingBox	TargetLocation	TargetLocationType	TargetLatLong	TargetCircleSizeInMiles
en-us	en-us UnifiedMaps-1410-01	001ded65-4e38-576c-b805-4483bc618cb2	11999 Harbor Blvd., , Garden Grove, California, USA, 92840	Address	1	Salt Lake City ,Utah ,United States	40.7608,-111.891	40.86,-111.803,40.6615,-111.979	11999 S Harbor Blvd, Garden Grove, CA 92840,United States	PopulatedPlace	33.78904,-117.91505	2
en-us	en-us UnifiedMaps-1410-01	001fde2e-d0d7-5bcd-aefd-7064379a4d40	4285 Shirley Dr. 30336	Address	1	Marietta ,Georgia ,United States 30064	33.9203,-84.618	33.7699,-84.5104,33.761,-84.5299	4285 Shirley Dr SW, Atlanta, GA 30336	Address	33.7649855017662,-84.5290312170982	2
en-us	en-us UnifiedMaps-1410-01	002f0547-e1ae-591f-a55a-26e645033ef7	1109 Quincy St, Shakopee, MN55379	Address	1	Shakopee ,Minnesota ,United States 55379	44.7535,-93.5181	45.1631,-92.7168,44.4528,-94.5331	1109 Quincy St S, Shakopee, MN 55379,United States	PopulatedPlace	44.78587,-93.5414	2
en-us	en-us UnifiedMaps-1410-01	0048a4e0-f8d7-5ac2-8b69-3a5570ec3d27	1215 PAGE TERrace, 19085	Address	1	Philadelphia ,Pennsylvania ,United States	39.9523,-75.1625	40.08700263,-74.98649597,39.8175025,-75.33805847	1215 Page Terrace, Villanova, PA 19085,United States	PopulatedPlace	40.05829,-75.30186	2
en-us	en-us UnifiedMaps-1410-01	00568039-b581-5cf8-b194-af14f9036671	1105 E HARRIS RD PASADENA TEXAS	Address	1	Mesquite ,Texas ,United States 75149	32.7697,-96.6135	32.9102,-96.8863,32.9036,-96.898	1105 E Harris Ave, Pasadena, TX 77506,United States	PopulatedPlace	29.69819,-95.19871	2
en-us	en-us UnifiedMaps-1410-01	007645b4-d33d-59bb-a932-300144f57d36	5800 EXECUTIVE CTR DR,CHARLOTTE, NC 28212	Address	1	Matthews ,North Carolina ,United States 28105	35.1105,-80.709	35.25403026,-80.53321838,34.96643621,-80.88478088	5800 Executive Center Dr, Charlotte, NC 28212,United States	PopulatedPlace	35.19851,-80.74293	2
en-us	en-us UnifiedMaps-1410-01	0090198a-d7e7-5e04-be4d-2b8e704cdabe	15567 S 70th court, orland park, il	Address	1	Chicago ,Illinois ,United States 60607	41.8745,-87.6503	41.6131,-87.7859,41.6087,-87.7943	15567 S 70th Ct, Orland Park, IL 60462,United States	PopulatedPlace	41.60839,-87.79093	2
en-us	en-us UnifiedMaps-1410-01	009872e0-943b-5ddb-9569-ea318f4de058	136 villiage dr state college, pa	Address	1	Old Forge ,Pennsylvania ,United States 18518	41.3653,-75.7586	41.6043,-75.232,40.1487,-78.7245	136 Village Dr, State College, PA 16803,United States	PopulatedPlace	40.80344,-77.87994	2
en-us	en-us UnifiedMaps-1410-01	00b53327-3df6-5add-86c2-ee3902f89b0b	424 Hawkins Ave, Braddock, PA	Address	1	Englewood ,Colorado ,United States 80111	39.6237,-104.874	39.75893571,-104.69833374,39.48814484,-105.04989624	424 Hawkins Ave, Braddock, PA 15104,United States	PopulatedPlace	40.40848,-79.86622	2
en-us	en-us UnifiedMaps-1410-01	00df99ad-1780-5b9f-a650-fe7d16bfc9a9	300 E South St , Orlando, Florida, United States	Address	1	Schaumburg ,Illinois ,United States	42.0334,-88.0834	42.16391239,-87.90779114,41.9027881,-88.25935364	300 E South St, Orlando, FL 32801,United States	PopulatedPlace	28.53772,-81.37493	2
